,,barcode_types,
tag,barcodeGroup,fwd,rvs
TrixySgkProgMA,trx-1-P0,Barcode1,Barcode1
TrixySgkProgMA,trx-2-P0,Barcode1,Barcode4
TrixySgkProgMA,D3-1-P0,Barcode1,Barcode7
TrixySgkProgMA,D3-2-P0,Barcode1,Barcode10
TrixySgkProgMA,trxSgk123-1-P0,Barcode4,Barcode1
TrixySgkProgMA,trxSgk123-2-P0,Barcode4,Barcode4
TrixySgkProgMA,trx-1-P10,Barcode4,Barcode7
TrixySgkProgMA,trx-2-P10,Barcode4,Barcode10
TrixySgkProgMA,D3-1-P10,Barcode7,Barcode1
TrixySgkProgMA,D3-2-P10,Barcode7,Barcode4
TrixySgkProgMA,trxSgk123-1-P10,Barcode7,Barcode7
TrixySgkProgMA,trxSgk123-2-P10,Barcode7,Barcode10
TrixySgkProgMA,GR562-ctrl,Barcode10,Barcode1
